speaker,word,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,pitch_mean,duration,F1,F2,F3,energy_mean,rule_based_score,mfcc_similarity,pitch_similarity,duration_similarity,formant_similarity
speaker2,ثلاثة,correct,-206.62624,142.05647,-35.165684,9.086931,27.795675,-37.71363,-14.424497,5.076227,-6.4772363,-2.0551462,-4.3210087,-7.528038,119.57521554540442,1.28,815.4184760148394,1729.7816240509296,2552.2879822568975,8.852180480957031,61.4,0.329,0.973,0.519,0.924
speaker2,حديقة,correct,-236.30354,140.57672,-44.832573,25.089123,0.7369444,-17.646444,-11.963538,4.970444,-0.94511455,-20.896048,1.9238462,-7.7706327,137.38080447429454,1.664,711.3287699025143,1797.2240158903714,2479.1342335390973,5.123946189880371,55.0,0.24,0.844,0.514,0.913
speaker2,خالد,correct,-252.4365,118.68555,-34.641518,3.9516568,-11.658269,-11.689272,-7.5995655,-16.152195,11.140484,-20.884237,-0.56998396,-2.4838564,125.88026481342,0.992,753.0134580361989,1736.8456505730417,2690.5475757070776,6.067398548126221,68.0,0.377,0.934,0.852,0.86
speaker2,صديق,correct,-309.95822,113.29936,-39.743225,18.141872,10.847556,-28.64483,-2.8241322,-6.0991006,-7.2944665,-3.2141356,-9.627193,-11.1251955,131.97715246722953,2.944,772.4880213560439,1789.8747190879253,2596.190214591973,1.3830451965332031,44.0,0.188,0.924,0.0,0.902
speaker2,ضوء,correct,-311.22485,131.79689,-35.324787,5.3608103,-0.06731801,-17.433117,-7.234391,-16.109035,2.9617534,0.61658037,-15.537126,-5.6971946,148.4646269720688,1.312,760.3845184756894,1653.4765732405817,2583.8716766111825,3.4534926414489746,47.2,0.307,0.87,0.0,0.876
speaker2,طريق,correct,-275.11826,137.44023,-58.92825,10.975249,11.078022,-41.890873,-9.005045,-2.7122943,-9.377176,-6.4346623,-1.3575236,-12.434626,126.7174860615014,1.344,749.8459432766601,1677.6330771036778,2513.312395421864,3.2578446865081787,52.6,0.297,0.904,0.25,0.882
speaker2,ظرف,correct,-274.9377,138.42851,-30.954367,4.614699,21.662926,-36.40226,-5.2934823,5.512825,-10.569562,-6.4926744,-4.719846,-11.541714,129.61349109506307,1.504,767.3687442533326,1675.6560453224924,2536.922158919749,4.288938045501709,47.4,0.296,0.865,0.0,0.915
speaker2,عربي,correct,-237.35983,136.16736,-54.931854,12.452539,-2.2937887,-16.140682,-13.136249,3.9405417,-2.6792748,-19.602566,3.8759942,-5.6940103,121.05111088472495,1.248,734.9383542184161,1743.4636836457576,2432.8190645614727,5.618579387664795,56.3,0.276,0.93,0.44,0.892
speaker2,غرفة,correct,-292.46646,115.75088,-56.826664,25.21829,-18.917673,-12.23172,-9.839252,-11.08621,0.021410393,-5.040092,-1.2837914,-3.6338809,148.5921441875157,3.352,787.2990200791842,1690.1969221707816,2575.975144742473,1.7461577653884888,39.5,0.175,0.707,0.0,0.916
speaker2,قلم,correct,-294.0595,143.1372,-49.996704,4.209683,13.302509,-25.28787,-8.001309,-8.468251,-9.074466,-1.6106349,-0.1989175,-8.537691,115.12805570948953,1.376,664.9041142731897,1681.3874613731193,2477.99709505797,3.2096874713897705,48.9,0.297,0.963,0.0,0.886
speaker3,ثلاثة,correct,-214.21823,102.5949,6.544967,10.3380575,-9.6950445,0.8846468,-11.634925,1.621251,7.866732,3.3317149,7.5099616,-13.332236,114.9047231788464,0.8,798.5811007029832,1793.7266948937674,2866.3421885874113,8.8292875289917,77.3,0.489,0.987,0.926,0.973
speaker3,حديقة,correct,-199.04068,89.60563,11.945243,5.1596375,-13.752235,-0.5755113,0.5286871,0.08823745,1.002229,-9.160756,3.5769012,-1.7525359,108.17999201606658,0.864,1211.7432318422427,2339.0759219720167,3466.781071271792,4.8288469314575195,62.2,0.415,0.91,0.771,0.6
speaker3,خالد,correct,-234.7262,108.70697,25.449022,1.6603198,-13.708113,-1.1979182,-5.0323143,-0.24549532,4.611881,-6.022938,1.2969213,0.63800275,115.63350275460013,0.992,780.7241058579327,1771.5616772294375,3021.7862777309097,5.366147994995117,70.7,0.415,0.98,0.852,0.873
speaker3,صديق,correct,-219.74126,74.10192,31.86171,1.2289838,-10.109736,8.381488,-16.507277,2.0484877,-2.9341693,-5.2196903,-2.135311,-3.9055336,142.06717262082995,0.768,875.8482316863726,1938.7491128939669,3325.605234001083,7.234992504119873,69.1,0.433,0.841,0.8,0.946
speaker3,ضوء,correct,-287.11517,124.388695,18.018616,10.131475,-21.766886,2.465971,-4.424451,-1.868048,-2.3055775,-1.1824194,1.5079304,-0.51992095,114.03156317087216,0.608,1075.9818790315564,1990.5041324496738,3180.7282493212415,7.084884166717529,71.4,0.526,0.868,0.812,0.837
speaker3,طريق,correct,-178.76083,108.33464,2.764076,6.4011574,-13.106638,-4.964593,2.1285157,-6.282147,2.9622145,-14.099314,7.4371767,-8.428499,124.736912234088,0.608,780.7262049869908,1702.845938487578,2831.2533016352527,14.522054672241211,72.2,0.496,0.921,0.792,0.905
speaker3,ظرف,correct,-186.68643,91.28639,4.5600038,11.00802,-30.928053,-5.639851,8.964205,-5.344869,-4.0981026,-18.054056,10.199304,-5.983753,121.54715785111954,0.416,782.491563728219,1722.1062370804837,2867.040956088383,9.003128051757812,76.0,0.589,0.935,0.722,0.966
speaker3,عربي,correct,-208.08179,135.84665,-8.117646,23.288494,-13.942343,-19.187967,-8.460112,4.0547137,-9.864742,-9.152869,-3.8986022,7.2425804,102.44107627085931,0.608,958.301361812275,1934.2344918380604,2892.9426183052865,10.01738166809082,66.6,0.435,0.906,0.76,0.795
speaker3,غرفة,correct,-194.71432,103.34457,29.080082,-2.1737354,-24.367558,-1.0273546,0.36636716,-0.9380621,2.9672418,-11.589407,-1.5191398,-2.8275826,114.45103373590379,0.608,987.586472621579,1907.5589124469057,3236.7357033458998,6.489462852478027,72.5,0.475,0.996,0.826,0.852
speaker3,قلم,correct,-239.18715,119.1084,0.78742784,11.374274,-20.1403,6.1094475,-4.4578724,-5.409549,-4.1658077,-9.260309,7.6853094,-0.7136023,111.72867741007833,0.544,895.2923429765021,1817.9573537646343,3027.5336194431447,5.707143783569336,79.7,0.583,0.994,0.944,0.88
speaker4,ثلاثة,correct,-229.20326,76.17125,4.538304,25.008558,1.7883394,-24.991001,-4.267465,8.5173855,-1.3549325,7.63532,-12.842713,2.6659915,154.40561800424211,1.76,755.9763191764656,1950.8187143484834,3002.3778748081527,17.924091339111328,44.8,0.307,0.673,0.0,0.951
speaker4,حديقة,correct,-255.82631,76.891,10.397859,31.666409,0.95252216,-10.5136385,2.5381014,8.8123045,6.1178293,0.74106055,-5.1679077,0.7750871,149.23308559476257,1.952,868.6945429151635,1971.6544200915826,3134.5879348982126,14.496885299682617,50.3,0.321,0.745,0.257,0.873
speaker4,خالد,correct,-251.68076,88.02611,26.777071,29.561234,-26.23451,-15.881902,0.93538666,-2.1197104,0.9979522,-0.66874695,-12.51538,5.805166,154.98780073038566,1.696,656.755110609757,1913.5572918397272,3151.963614040732,19.97406578063965,43.5,0.264,0.687,0.037,0.925
speaker4,صديق,correct,-248.00053,81.9339,31.561834,43.04345,-24.864937,-17.227747,2.8335555,-2.7112138,-1.3988283,-5.7667904,-8.138259,4.0836244,145.93756008338974,1.664,651.0227033071019,1877.1437072273632,3241.5521752406557,14.793022155761719,52.0,0.297,0.81,0.267,0.931
speaker4,ضوء,correct,-332.51212,100.277245,43.168236,21.782944,-10.597576,-3.67864,7.0505323,-1.4097687,5.3871713,-3.4299827,-8.12012,2.1614597,165.2637111337058,1.248,806.3745731096069,1861.57541872741,3276.0155651377654,12.402064323425293,54.7,0.515,0.742,0.0,0.964
speaker4,طريق,correct,-279.52002,91.93758,25.908072,39.505245,-27.092682,-15.533104,5.8503118,-2.708915,2.8670871,-3.3361483,-8.485672,7.6493707,150.47714920892972,1.664,730.1130532572025,1775.5632518984562,3139.326498165318,12.875018119812012,44.5,0.278,0.699,0.0,0.972
speaker4,ظرف,correct,-296.84875,89.621025,21.860495,22.644392,-16.518656,-18.540201,11.765479,4.756576,-2.379335,2.9891639,-10.163197,9.591293,147.49033975446156,1.152,953.6365206564869,2026.8182575144824,3173.25624652271,11.93250846862793,47.7,0.402,0.708,0.0,0.871
speaker4,عربي,correct,-245.78963,87.441376,3.307184,42.207355,-5.5984135,-12.60551,2.4983761,-5.134601,1.5654044,-4.196514,1.4948945,-2.5906293,141.97874326620524,1.504,901.4539533777017,2062.3898623726695,3085.761580746258,12.200701713562012,44.3,0.267,0.744,0.12,0.818
speaker4,غرفة,correct,-289.61508,102.12746,24.452465,18.41453,-10.626718,-11.838404,1.5478404,2.2425046,0.5198463,1.784012,-10.574682,0.96918017,155.54366604319708,1.856,823.1429969772109,1725.5477791162582,3122.3542783503353,13.212557792663574,44.2,0.301,0.647,0.0,0.963
speaker4,قلم,correct,-283.0092,95.65465,6.8728395,33.584354,-1.4711959,-10.529543,5.561983,-5.1890345,2.3267395,-3.2025323,-3.6223335,2.6676877,153.9467402238943,1.248,912.3803159142244,1970.8622177612192,3103.0410374644775,12.868963241577148,45.7,0.411,0.613,0.0,0.851
speaker5_incorrect,ثلاثة,incorrect,-175.63486,141.61966,9.465703,6.2385235,-14.501492,10.154945,-9.024067,-11.199153,-11.923313,10.160058,-3.7046397,-6.3866134,90.07055987454407,0.672,777.1935511033904,1858.411331452167,3130.992392009345,16.163759231567383,67.0,0.412,0.774,0.778,0.973
speaker5_incorrect,حديقة,incorrect,-189.84901,124.46207,4.3695855,21.179115,6.027182,6.202646,-9.921481,-5.6701455,-9.662212,-1.0696166,0.9469349,-2.5209467,93.76462677545514,0.672,734.2480640827168,1905.5589128730626,3069.053502247908,15.722829818725586,61.5,0.367,0.789,0.6,0.952
speaker5_incorrect,خالد,incorrect,-190.66565,116.3757,2.8950965,28.55835,-14.827018,6.9298797,-13.613738,-13.309514,-15.809117,3.2936819,-16.835365,-0.15014881,91.93209989966644,0.768,737.7067403762187,1930.162533611095,2955.8745207417255,11.146595001220703,65.4,0.373,0.779,0.889,0.857
speaker5_incorrect,صديق,incorrect,-168.30437,60.327576,0.28642514,39.54376,-1.8720034,-2.291257,-19.07022,2.0396605,-23.06828,-9.804646,-9.765808,-11.056083,99.91385778942698,0.672,887.6300911825545,2012.1904867711667,3451.2080864966856,16.591421127319336,63.2,0.36,0.815,0.7,0.923
speaker5_incorrect,ضوء,incorrect,-270.25272,154.62674,43.63008,29.335508,10.913746,23.271854,2.5672588,-5.376422,-23.14961,-15.342448,-16.74544,4.169093,90.83104406357148,0.512,730.2339254097294,1793.1829949823227,3234.9751100534368,24.739805221557617,72.1,0.48,0.691,1.0,0.952
speaker5_incorrect,طريق,incorrect,-181.43199,90.9182,-6.621366,54.759453,12.270414,-12.739473,-10.357695,-0.78434235,-17.39152,-6.5196786,-9.528041,-4.605209,98.35361265108536,0.64,763.481636731334,1948.6996460736732,3276.0639456183135,17.403432846069336,67.6,0.388,0.851,0.833,0.921
speaker5_incorrect,ظرف,incorrect,-189.40942,102.38891,11.279181,31.096754,8.077091,22.177763,-16.514154,-16.95826,-13.463971,7.863049,-8.498,-8.09436,93.57684195129927,0.544,854.6839741098144,1995.8396686499655,3387.107492187223,18.112634658813477,70.2,0.424,0.82,0.944,0.895
speaker5_incorrect,عربي,incorrect,-239.07036,140.76846,9.833865,40.624252,14.9984865,-3.9871886,-11.327999,-10.200921,-5.2136707,-4.6459293,-6.06418,4.2045765,93.34226593875825,0.672,912.9504330341846,2005.2605873877121,3238.713748286582,14.421189308166504,64.2,0.366,0.825,0.84,0.812
speaker5_incorrect,غرفة,incorrect,-244.2394,139.6204,17.86337,22.706469,19.599714,15.700833,3.2647665,-6.453642,-14.087466,-5.675037,-4.256985,0.6387869,93.32506775723097,0.672,750.03039074449,1831.6332810536671,3134.2673901537746,11.23581600189209,70.9,0.423,0.812,0.913,0.974
speaker5_incorrect,قلم,incorrect,-188.38847,126.406944,3.4407578,29.269566,6.60726,10.651381,-6.505587,-6.078956,-9.672856,2.1622934,-11.947674,-2.3051653,99.45834186996882,0.608,732.3667231915005,1759.6904219301541,3101.999207316413,17.425508499145508,74.6,0.464,0.896,0.944,0.963
speaker6_incorrect,ثلاثة,incorrect,-180.38342,111.29948,2.0645487,20.099558,-9.118819,4.720868,-15.416703,-16.22079,3.3331463,-1.8292093,-1.5512806,4.10407,200.6888968982408,1.08,599.7297868314163,1647.1005491220853,3169.620793564948,5.005949974060059,52.5,0.359,0.276,0.75,0.882
speaker6_incorrect,حديقة,incorrect,-184.02391,99.23003,-7.5026126,35.446045,9.7708435,-5.7624087,1.0856165,-9.477789,-1.2879734,1.0327423,-4.7752867,-0.4052445,149.57035802244266,1.608,685.932479955856,1922.5388876048662,3019.9214148994056,3.0788984298706055,55.8,0.259,0.742,0.564,0.967
speaker6_incorrect,خالد,incorrect,-220.8439,122.48605,23.443169,37.853085,5.638227,0.28329617,-1.7859335,-3.0296779,2.146417,0.7667657,-1.0272236,-2.1162715,108.05038928717988,2.52,604.0833188357733,1891.2442245790874,3030.6406555539393,2.055107355117798,47.4,0.261,0.915,0.0,0.931
speaker6_incorrect,صديق,incorrect,-177.7335,126.20112,7.190316,31.637608,11.1188,3.2076228,-5.079983,0.5603344,3.027835,-0.7451565,-0.81497365,-2.771883,101.77116639230259,1.48,566.7869970591411,1740.4225369531237,2895.038113134838,3.2397663593292236,54.2,0.292,0.83,0.458,0.836
speaker6_incorrect,ضوء,incorrect,-199.0301,116.06593,1.7526797,20.28703,8.567183,-11.119395,-3.7369988,-7.404774,-10.832586,-5.5318675,-8.362665,-0.30739847,129.96030139138398,1.328,592.1562784805077,1708.422339035954,2826.7678170391546,5.0650177001953125,49.8,0.333,0.989,0.0,0.836
speaker6_incorrect,طريق,incorrect,-181.67535,116.45608,0.34674346,21.47886,4.181136,3.2931788,-11.910044,-8.427708,-3.0129547,-8.075685,-5.81525,1.5131818,105.05071553829536,1.36,620.2059590636176,1707.4294633221693,2942.934956400939,4.351737976074219,55.7,0.358,0.908,0.229,0.93
speaker6_incorrect,ظرف,incorrect,-191.69554,117.06065,11.408428,12.058112,-15.575423,3.1871285,-2.3846028,-1.5585023,-8.687132,-4.2389064,2.308361,3.7308915,127.12798904361412,1.168,605.1820747658578,1496.6793599121443,2884.75899820012,4.298909664154053,50.9,0.403,0.886,0.0,0.851
speaker6_incorrect,عربي,incorrect,-190.85634,127.70339,-24.13321,18.010633,-3.4360924,-3.0565407,2.617793,-8.561114,-5.612771,-4.797926,-1.9631386,0.6478699,115.61955135802432,1.376,685.1631520782215,1588.3988813796846,2787.0775584436824,4.031893730163574,57.9,0.346,0.978,0.28,0.945
speaker6_incorrect,غرفة,incorrect,-199.10234,132.63507,-4.891474,16.743935,-1.9910988,-0.77324307,-11.73146,-9.733458,-10.210878,-2.9549167,-2.2165887,-3.631404,140.31180328532528,1.28,587.4872695000574,1564.7353362165081,2763.8810993206976,2.970669746398926,54.0,0.403,0.779,0.261,0.854
speaker6_incorrect,قلم,incorrect,-236.87502,117.44173,-5.400563,30.252535,7.5625777,-13.132293,-4.997321,-11.584444,-5.2117863,5.518174,1.381169,0.92208946,123.25431576049557,1.488,551.5039994322993,1633.015190987104,2765.1863400619013,1.8447551727294922,48.3,0.335,0.89,0.0,0.853
